name,description,data,users,company,labels,name_labels
Healthcare Facility Staffing Chatbot,A chatbot that allows healthcare facilities and staffing agencies to easily find and hire qualified nurses for specific shifts or assignments.,"Nurse Profiles, Job Listings, Healthcare Facility and Staffing Agency Data","Healthcare Facilities, Staffing Agencies, Nurse Managers",Trusted Health,0,5
Allied Healthcare Professionals Job Search Chatbot,"A chatbot that helps allied healthcare professionals, such as physical therapists, occupational therapists, and respiratory therapists, find job opportunities that align with their skills and preferences.","Nurse Profiles, Job Listings",Allied Healthcare Professionals,Trusted Health,26,5
Platform Analytics Chatbot,"A chatbot that collects and analyzes usage data to improve platform usability, identify areas for optimization, and measure the effectiveness of Trusted Health's services.",Usage Analytics,Trusted Health,Trusted Health,36,5
Customer Support Chatbot,"A chatbot that provides customer support to Curology users, addressing their inquiries and concerns.","User Profile Data, Subscription Data, Customer Feedback","Individuals seeking personalized skincare solutions, Subscribers",Curology,2,5
Chatbot for Treatment Recommendation,A chatbot that analyzes patient data and provides personalized treatment recommendations for various health conditions.,Patient Data,Patients,Pristyn Care,2,5
Chatbot for Post-Operative Care Guidance,A chatbot that provides guidance and instructions to patients during their post-operative recovery period.,"Patient Data, Medical and Surgical Data",Patients,Pristyn Care,23,5
Chatbot for Appointment Scheduling,A chatbot that assists patients and healthcare professionals in scheduling medical appointments at Pristyn Care's partnered hospitals and clinics.,"Patient Data, Healthcare Provider Data","Patients, Healthcare Professionals",Pristyn Care,0,5
Chatbot for Insurance Claims Assistance,A chatbot that helps patients and insurance companies navigate the claims process for reimbursement of medical and surgical interventions.,"Patient Data, Insurance Data","Patients, Payers",Pristyn Care,13,5
Chatbot for Healthcare Information and Education,"A chatbot that provides healthcare information and education to patients, healthcare professionals, and the general public.","Medical and Surgical Data, Research and Development Data, Government Healthcare Data","Patients, Healthcare Professionals, Life Sciences/Pharma Companies, Government",Pristyn Care,3,5
Chatbot for patient support and education,A conversational chatbot that provides support and educational resources to patients with neurological injuries.,"Patient health data, biometric data, clinical data, device and usage data, demographic and user profile data",Patients with neurological injuries,Zeit Medical,31,5
Chatbot for physician assistance in diagnosis and treatment planning,A conversational chatbot that assists physicians specializing in neurology or rehabilitation medicine in accurately diagnosing and planning treatment for patients with neurological conditions.,"Patient health data, clinical data, demographic and user profile data",Physicians specializing in neurology or rehabilitation medicine,Zeit Medical,4,5
Chatbot for Patient Education,A chatbot that provides information and education to patients with hearing and balance disorders.,"Patient Health Data, Genetic and Molecular Data, Clinical Trial Data, Research and Scientific Literature",Patients,Decibel Therapeutics,2,5
Chatbot for Healthcare Provider Support,A chatbot that assists healthcare providers in implementing Decibel Therapeutics' therapies and technologies for improved patient outcomes.,"Patient Health Data, Clinical Trial Data, Research and Scientific Literature, Financial and Business Data, Regulatory and Compliance Data",Healthcare Providers,Decibel Therapeutics,4,5
Chatbot for Collaboration and Partnership Opportunities,"A chatbot that facilitates collaboration and partnership opportunities with life sciences/pharma companies, investors, research institutions, and government agencies.",Financial and Business Data,"Life Sciences/Pharma Companies, Investors, Research Institutions, Government Agencies",Decibel Therapeutics,0,5
Internal Chatbot for Test Development,"A chatbot that assists Inflammatix's research and development team in analyzing immune system data, diagnostic data, clinical data, patient data, and research data to develop and improve their rapid diagnostic tests.","Immune System Data, Diagnostic Data, Clinical Data, Patient Data, Research Data",Inflammatix's research and development team,Inflammatix,2,5
External Chatbot for Healthcare Professionals,"A chatbot that provides healthcare professionals, such as doctors and nurses, with information and guidance on how to effectively use Inflammatix's rapid diagnostic tests in different healthcare settings including hospitals, clinics, and emergency rooms.",N/A,"Healthcare professionals, such as doctors and nurses",Inflammatix,20,5
External Chatbot for Pharmaceutical Companies and Research Organizations,A chatbot that facilitates communication and collaboration between Inflammatix and their partnerships with pharmaceutical companies and research organizations. It provides updates on joint projects or studies utilizing Inflammatix's diagnostic technology and assists in sharing relevant research data.,Research Data,Pharmaceutical companies and research organizations,Inflammatix,0,5
Customer Support Chatbot,"A chatbot that provides customer support and assistance for insurance plan inquiries, claims processing, and policy information.","Customer Data, Claims Data, Provider Data, Financial Data, Regulatory Data","Individuals, Small Businesses, Medicare Advantage Beneficiaries",Oscar Health,2,5
Plan Recommendation Chatbot,A chatbot that analyzes customer data and provides personalized health insurance plan recommendations based on individual needs and preferences.,"Customer Data, Provider Data",Individuals,Oscar Health,4,5
Provider Network Chatbot,"A chatbot that helps customers find healthcare providers, hospitals, clinics, and pharmacies that are covered under their insurance plans.",Provider Data,"Individuals, Small Businesses, Medicare Advantage Beneficiaries",Oscar Health,13,5
